id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
19_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_18	C9H8O3	[M - H2O + H]+	C9H6O2	Shikimates and Phenylpropanoids	0.9978803396224976	Phenylpropanoids (C6-C3)	0.993502676486969	Cinnamic acids and derivatives	0.9930151700973511	Coumaric acids	0.9967864751815796	Coumaric acids and derivatives	0.9655409455299377	Hydroxycinnamic acids and derivatives	0.9511407017707825	Cinnamic acids and derivatives	0.9126888513565063	Phenylpropanoids and polyketides	0.994024932384491	Organic compounds; Styrenes; Coumaric acids and derivatives; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Cinnamic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxycinnamic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Hydroxycinnamic acids; Cinnamic acids; Coumaric acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	18
20_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_19	C9H9NO	[M + H]+	C9H9NO	Alkaloids	0.9973170161247253	Tryptophan alkaloids	0.7465570569038391	Quinoline alkaloids	0.2463863044977188	1-hydroxy-2-unsubstituted benzenoids	0.580839216709137			1-hydroxy-2-unsubstituted benzenoids	0.580839216709137	Phenols	0.6686543822288513	Benzenoids	0.9869521856307983	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Phenols; Lactams; Organonitrogen compounds; Organooxygen compounds; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	19
21_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_20	C9H9NO	[M + H]+	C9H9NO	Shikimates and Phenylpropanoids	0.9119969606399536	Phenylpropanoids (C6-C3)	0.4711333215236664	Cinnamic acid amides	0.2912130057811737	Cinnamic acids and derivatives	0.5701218247413635					Cinnamic acids and derivatives	0.5701218247413635	Phenylpropanoids and polyketides	0.8213163614273071	Organic compounds; Styrenes; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	20
22_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_21	C8H4O3	[M + H]+	C8H4O3	Polyketides	0.9796748757362366	Cyclic polyketides	0.26776570081710815	Anthraquinones and anthrones	0.002894531236961484	Phthalic anhydrides	0.9997789263725281	Phthalic anhydrides	0.9997789263725281	Benzofuranones	0.9349792003631592	Benzofurans	0.9878982901573181	Organoheterocyclic compounds	0.9999923706054688	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Benzofurans; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Phthalic anhydrides; Carboxylic acid anhydrides; Benzofuranones; Benzenoids; Isobenzofuranones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Isocoumarans; Organic oxygen compounds; Chemical entities	21
23_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_22	C8H4O3	[M + H]+	C8H4O3	Polyketides	0.9813620448112488	Cyclic polyketides	0.2886117696762085	Anthraquinones and anthrones	0.0025559791829437017	Phthalic anhydrides	0.999713122844696	Phthalic anhydrides	0.999713122844696	Benzofuranones	0.9228016138076782	Benzofurans	0.9839431047439575	Organoheterocyclic compounds	0.9999932050704956	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Benzofurans; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Phthalic anhydrides; Carboxylic acid anhydrides; Benzofuranones; Benzenoids; Isobenzofuranones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Isocoumarans; Organic oxygen compounds; Chemical entities	22
24_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_23	C8H4O3	[M + H]+	C8H4O3	Polyketides	0.9765660762786865	Cyclic polyketides	0.24043075740337372	Anthraquinones and anthrones	0.0030011082999408245	Phthalic anhydrides	0.9998412132263184	Phthalic anhydrides	0.9998412132263184	Benzofuranones	0.9458925127983093	Benzofurans	0.989776611328125	Organoheterocyclic compounds	0.9999890327453613	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Benzofurans; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Phthalic anhydrides; Carboxylic acid anhydrides; Benzofuranones; Benzenoids; Isobenzofuranones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Isocoumarans; Organic oxygen compounds; Chemical entities	23
25_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_24	C8H4O3	[M + H]+	C8H4O3	Polyketides	0.9802728891372681	Cyclic polyketides	0.27533450722694397	Anthraquinones and anthrones	0.002564778784289956	Phthalic anhydrides	0.9997554421424866	Phthalic anhydrides	0.9997554421424866	Benzofuranones	0.9298068881034851	Benzofurans	0.9852510690689087	Organoheterocyclic compounds	0.9999921321868896	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Benzofurans; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Phthalic anhydrides; Carboxylic acid anhydrides; Benzofuranones; Benzenoids; Isobenzofuranones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Isocoumarans; Organic oxygen compounds; Chemical entities	24
26_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_25	C8H4O3	[M + H]+	C8H4O3	Polyketides	0.9806562662124634	Cyclic polyketides	0.28099459409713745	Anthraquinones and anthrones	0.0024732465390115976	Phthalic anhydrides	0.9997437596321106	Phthalic anhydrides	0.9997437596321106	Benzofuranones	0.9291622638702393	Benzofurans	0.985345721244812	Organoheterocyclic compounds	0.9999926090240479	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Benzofurans; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Phthalic anhydrides; Carboxylic acid anhydrides; Benzofuranones; Benzenoids; Isobenzofuranones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Isocoumarans; Organic oxygen compounds; Chemical entities	25
27_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_26	C8H4O3	[M + H]+	C8H4O3	Polyketides	0.9796736240386963	Cyclic polyketides	0.2795163691043854	Anthraquinones and anthrones	0.0021025273017585278	Phthalic anhydrides	0.9995734095573425	Phthalic anhydrides	0.9995734095573425	Benzofuranones	0.905207633972168	Benzofurans	0.9834506511688232	Organoheterocyclic compounds	0.999994158744812	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Benzofurans; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Phthalic anhydrides; Carboxylic acid anhydrides; Benzofuranones; Benzenoids; Isobenzofuranones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Isocoumarans; Organic oxygen compounds; Chemical entities	26
28_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_27	C8H4O3	[M + H]+	C8H4O3	Polyketides	0.9809731245040894	Cyclic polyketides	0.27409571409225464	Anthraquinones and anthrones	0.002407956402748823	Phthalic anhydrides	0.9997451901435852	Phthalic anhydrides	0.9997451901435852	Benzofuranones	0.9199822545051575	Benzofurans	0.9813562631607056	Organoheterocyclic compounds	0.999990701675415	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Benzofurans; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Phthalic anhydrides; Carboxylic acid anhydrides; Benzofuranones; Benzenoids; Isobenzofuranones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Isocoumarans; Organic oxygen compounds; Chemical entities	27
29_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_28	C9H8O2	[M + H]+	C9H8O2	Shikimates and Phenylpropanoids	0.9799663424491882	Phenolic acids (C6-C1)	0.3982771039009094	Simple phenolic acids	0.35597190260887146	Benzaldehydes	0.8239458799362183	Aldehydes	0.968142569065094	Carbonyl compounds	0.950374960899353	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Aldehydes; Ethers; Benzoyl derivatives; Organooxygen compounds; Benzaldehydes; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl-aldehydes; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	28
30_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_29	C8H9NO3	[M - H2O + H]+	C8H7NO2	Amino acids and Peptides	0.8066309690475464	Small peptides	0.9787946939468384	Aminoacids	0.9453867673873901	Amino acids	0.9989333748817444	Amino acids and derivatives	0.9955997467041016	Amino acids, peptides, and analogues	0.9956101775169373	Carboxylic acids and derivatives	0.9964981079101562	Organic acids and derivatives	0.9990139007568359	Organic compounds; Amino acids, peptides, and analogues; Alkyl aryl ethers; Anisoles; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminobenzoic acids and derivatives; Aniline and substituted anilines; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Benzene and substituted derivatives; Phenol ethers; Methoxybenzoic acids and derivatives; M-methoxybenzoic acids and derivatives; Benzenoids; Amines; Primary amines; Benzoic acids; Aminobenzoic acids; Vinylogous amides; Organic oxides; Methoxyanilines; Methoxybenzenes; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Aminophenyl ethers; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	29
31_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_30	C9H10O2	[M + H]+	C9H10O2	Shikimates and Phenylpropanoids	0.9778623580932617	Phenylpropanoids (C6-C3)	0.9279022216796875	Cinnamic acids and derivatives	0.8790861964225769	Acetophenones	0.5234213471412659			Acetophenones	0.5234213471412659	Benzene and substituted derivatives	0.9961907863616943	Benzenoids	0.9998812675476074	Organic compounds; Acetophenones; Phenols; Organic acids and derivatives; Organooxygen compounds; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	30
35_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_34	C9H14O2	[M + H]+	C9H14O2	Fatty acids	0.9303007125854492	Fatty Acids and Conjugates	0.47632914781570435	Unsaturated fatty acids	0.31159186363220215	Straight chain fatty acids	0.584297776222229	Straight chain fatty acids	0.584297776222229	Fatty acids and conjugates	0.3483404219150543	Fatty Acyls	0.2621213495731354	Lipids and lipid-like molecules	0.4007238745689392	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	34
36_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_35	C9H16O3	[M - H2O + H]+	C9H14O2	Fatty acids	0.8924129009246826	Fatty Acids and Conjugates	0.570059597492218	Hydroxy fatty acids	0.3849961757659912	Hydroxy acids and derivatives	0.8030582070350647					Hydroxy acids and derivatives	0.8030582070350647	Organic acids and derivatives	0.9938074946403503	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	35
37_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_36	C9H16O3	[M - H2O + H]+	C9H14O2	Fatty acids	0.7948492169380188	Fatty Acids and Conjugates	0.45920437574386597	Oxo fatty acids	0.3812525272369385	Fatty Acyls	0.5575116276741028					Fatty Acyls	0.5575116276741028	Lipids and lipid-like molecules	0.657233715057373	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	36
38_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_37	C9H14O2	[M + H]+	C9H14O2	Fatty acids	0.702674150466919	Fatty acyls	0.5483906865119934	Fatty aldehydes	0.5750621557235718	Medium-chain aldehydes	0.6113918423652649	Aldehydes	0.30185115337371826	Carbonyl compounds	0.845986545085907	Organooxygen compounds	0.9994400143623352	Organic oxygen compounds	0.9999998807907104	Organic compounds; Organooxygen compounds; Carbonyl compounds; Medium-chain aldehydes; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	37
43_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_42	C10H10N2	[M + H]+	C10H10N2	Alkaloids	0.9954848289489746	Tryptophan alkaloids	0.804453432559967	Simple indole alkaloids	0.8826963901519775	Indoles	0.8116315603256226			Indoles	0.8116315603256226	Indoles and derivatives	0.7105619311332703	Organoheterocyclic compounds	0.9989686012268066	Organic compounds; Organoheterocyclic compounds; Pyrroles; Indoles and derivatives; Organonitrogen compounds; Dialkylamines; Substituted pyrroles; Benzenoids; Amines; Indoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	42
44_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_43	C10H16	[M + Na]+	C10H16	Terpenoids	0.9975273013114929	Monoterpenoids	0.9579142928123474	Thujane monoterpenoids	0.31025925278663635	Monoterpenoids	0.6169967651367188			Monoterpenoids	0.6169967651367188	Prenol lipids	0.7487005591392517	Lipids and lipid-like molecules	0.70577472448349	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Monoterpenoids; Hydrocarbons; Olefins; Cyclic olefins; Polycyclic hydrocarbons; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Branched unsaturated hydrocarbons; Chemical entities	43
45_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_44	C10H9NO	[M + H]+	C10H9NO	Alkaloids	0.988263726234436	Anthranilic acid alkaloids	0.8609942197799683	Acridone alkaloids	0.4102562367916107	Quinolines and derivatives	0.654606819152832					Quinolines and derivatives	0.654606819152832	Organoheterocyclic compounds	0.998023271560669	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organonitrogen compounds; Organooxygen compounds; Quinolines and derivatives; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	44
47_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_46	C9H7NO2	[M + H]+	C9H7NO2	Alkaloids	0.9989174604415894	Tryptophan alkaloids	0.9345954060554504	Simple indole alkaloids	0.9131185412406921	Indolecarboxylic acids and derivatives	0.929540753364563			Indolecarboxylic acids and derivatives	0.929540753364563	Indoles and derivatives	0.9890357851982117	Organoheterocyclic compounds	0.9999570846557617	Organic compounds; Organoheterocyclic compounds; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Indolecarboxylic acids and derivatives; Substituted pyrroles; Benzenoids; Indoles; Pyrrole carboxylic acids and derivatives; Pyrrole carboxylic acids; Pyrrole 2-carboxylic acids; Organic anions; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	46
48_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_47	C10H12O2	[M + H]+	C10H12O2	Polyketides	0.4440888464450836	Cyclic polyketides	0.7061478495597839	2-pyrone derivatives	0.6241826415061951	Butenolides	0.5955608487129211	Butenolides	0.5955608487129211	Furanones	0.2939295470714569	Dihydrofurans	0.23829995095729828	Organoheterocyclic compounds	0.6642889976501465	Organic compounds; Organoheterocyclic compounds; Lactones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Butenolides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	47
49_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_48	C10H12O2	[M + H]+	C10H12O2	Polyketides	0.7277265787124634	Aromatic polyketides	0.1114240437746048	Prenyl quinone meroterpenoids	0.580161988735199	P-benzoquinones	0.9812620282173157	Ketones	0.9984381794929504	Carbonyl compounds	0.9993651509284973	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Ketones; Organooxygen compounds; Carbonyl compounds; Benzoquinones; P-benzoquinones; Quinones; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	48
50_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_49	C10H12O2	[M + H]+	C10H12O2	Polyketides	0.9599141478538513	Cyclic polyketides	0.5503020286560059	2-pyrone derivatives	0.4206312298774719	Pyrans	0.5266612768173218					Pyrans	0.5266612768173218	Organoheterocyclic compounds	0.431101530790329	Organic compounds; Pyrans; Organooxygen compounds; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	49
51_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_50	C10H12O2	[M + H]+	C10H12O2	Polyketides	0.5988418459892273	Meroterpenoids	0.11041376739740372	Prenyl quinone meroterpenoids	0.9609728455543518	P-benzoquinones	0.9781624674797058	Ketones	0.9760432839393616	Carbonyl compounds	0.9950330257415771	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Ketones; Organooxygen compounds; Carbonyl compounds; Benzoquinones; P-benzoquinones; Quinones; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	50
52_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_51	C10H14O2	[M + H]+	C10H14O2	Terpenoids	0.8957343697547913	Monoterpenoids	0.7687178254127502	Menthane monoterpenoids	0.530250608921051	Adamantanones	0.7160794138908386	Ketones	0.3695010542869568	Carbonyl compounds	0.9450564384460449	Organooxygen compounds	0.9999946355819702	Organic oxygen compounds	1.0	Organic compounds; Adamantanones; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	51
53_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_52	C7H5NS2	[M + H]+	C7H5NS2	Alkaloids	0.9840335845947266	Anthranilic acid alkaloids	0.7154214978218079	Phenazine alkaloids	0.31363824009895325	Benzothiazoles	0.9946460723876953					Benzothiazoles	0.9946460723876953	Organoheterocyclic compounds	0.9999675750732422	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Organonitrogen compounds; Benzothiazoles; Azoles; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	52
63_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_62	C9H17NO2	[M + H]+	C9H17NO2	Amino acids and Peptides	0.7622866034507751	Small peptides	0.6624813675880432	Aminoacids	0.4666028320789337	Amino acids	0.9345881342887878	Amino acids and derivatives	0.9888253808021545	Amino acids, peptides, and analogues	0.9886531233787537	Carboxylic acids and derivatives	0.9978764057159424	Organic acids and derivatives	0.9995948672294617	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	62
